id,paper_id,primers,longitude,latitude,continent,sample_type,ITS1_extracted,ITS2_extracted,ITS_total,Biome,MAT,MAP,pH,year_start,year_end,year_of_sampling,manipulated
217,DelgadoBaquerizo_2017_BB88,fITS7/ITS4,-69.8208,9.76795,South America,soil,0,77411,77411,shrubland,23.9,866,7.329328,2009,2009,2009,FALSE
221,Wicaksono_2017_3B9E,fITS7/ITS4,-65.9513,-27.3309,South America,soil,0,537469,537469,forest,14.6,714,5.26,2011,2013,2011 to 2013,FALSE
240,Gannes_2016_5E98,ITS1F/ITS4,-61.1,10.46,South America,soil,35961,4057,40018,forest,26.8,2202,4.8,2015,2015,2015,FALSE
244,Li_2021_mDU,fITS9/ITS4,-89.35,43.1333,North America,soil,0,138018,138018,grassland,8.7,775,6.03,2015,2015,2015,TRUE
250,Farrer_2019_50DE,ITS1F/ITS2,-105.644,40.0516,North America,soil,22946,0,22946,tundra,-3.7,757,4.85,2015,2015,2015,FALSE
262,Whitman_2019_8E28,5.8S_Fun/ITS4_Fun,-116.65,62.4875,North America,soil,0,8973,8973,forest,-3.9,268,5.52,2015,2015,2015,FALSE
279,Li_2021_mDU,fITS9/ITS4,-85.37,42.38,North America,soil,0,155214,155214,grassland,9.2,881,4.93,2015,2015,2015,TRUE
280,Li_2021_mDU,fITS9/ITS4,-85.37,42.38,North America,soil,0,172857,172857,grassland,9.2,881,4.93,2015,2015,2015,TRUE
285,Anthony_2017_647F,fITS7/ITS4,-73.956,41.3915,North America,soil,0,107803,107803,forest,11.7,909,4.8,2013,2013,2013,FALSE
298,Anthony_2017_647F,fITS7/ITS4,-73.956,41.3915,North America,soil,0,139042,139042,forest,11.7,909,5.4,2013,2013,2013,FALSE
302,Sukdeo_2018_1DF4,ITS86F/ITS4,-123.267,54.3333,North America,soil,0,265155,265155,forest,3.6,670,5.18,2014,2014,2014,FALSE
310,Gravuer_2020_mCY,ITS1F/ITS3,-122.429,38.869,North America,soil,69482,0,69482,grassland,12.7,872,7.4,2013,2013,2013,TRUE
315,Truong_2019_add,ITS1F/ITS2,-68.8235,-54.3472,South America,soil,60277,0,60277,forest,3.2,597,3.82,2015,2015,2015,FALSE
322,Farrer_2019_50DE,ITS1F/ITS2,-105.623,40.0572,North America,soil,13698,0,13698,tundra,-2.2,603,4.66,2015,2015,2015,FALSE
324,Carson_2019_B39C,fITS7/ITS4,-96.5833,39.0833,North America,soil,0,24043,24043,grassland,12.7,828,6.15,2015,2015,2015,TRUE
335,Weber_2019_1GA,5.8S_Fun/ITS4_Fun,-117.705,33.7428,North America,root,0,42793,42793,shrubland,17.7,367,6.43,2015,2015,2015,TRUE
338,DelgadoBaquerizo_2017_BB88,fITS7/ITS4,-70.5245,-41.0335,South America,soil,0,75814,75814,shrubland,8.2,492,6.790220085,2011,2011,2011,FALSE
347,Duan_2018_DJ,ITS1F/ITS4,-76.6707,34.7181,North America,water,156658,0,156658,aquatic,18.8,1397,7.94,2013,2013,2013,FALSE
352,Truong_2019_add,ITS1F/ITS2,-67.2473,-54.6102,South America,soil,38977,0,38977,forest,4.6,646,4.54,2015,2015,2015,FALSE
357,Singh_2019_EA7F,ITS1/ITS4,-77.0919,43.125,North America,root,32365,176097,208462,cropland,9.1,917,6.85,0,0,NA_,FALSE
375,Sukdeo_2018_1DF4,ITS86F/ITS4,-123.267,54.3333,North America,soil,0,146962,146962,forest,3.6,670,4.15,2014,2014,2014,FALSE
376,Sukdeo_2018_1DF4,ITS86F/ITS4,-123.267,54.3333,North America,soil,0,363475,363475,forest,3.6,670,4.69,2014,2014,2014,FALSE
389,Duan_2018_DJ,ITS1F/ITS4,-76.6707,34.7181,North America,water,109619,0,109619,aquatic,18.8,1397,7.89,2013,2013,2013,FALSE
396,Anthony_2017_647F,fITS7/ITS4,-73.2508,42.1291,North America,soil,0,178787,178787,forest,9.2,1311,5.4,2013,2013,2013,FALSE
421,Freed_2019_B98F,ITS1F/ITS2,-123,43.93,North America,shoot,58808,0,58808,wetland,12.4,1029,5.9,2016,2016,2016,FALSE
422,Freed_2019_B98F,ITS1F/ITS2,-123,43.93,North America,shoot,22666,0,22666,wetland,12.4,1029,5.9,2016,2016,2016,FALSE
425,Lagueux_2021_mCK,fITS7/ITS4,-106.623,34.3421,North America,root,0,285080,285080,grassland,14.2,308,7.94,2015,2015,2015,TRUE
432,Glassman_2017_E29A,ITS1F/ITS2,-119.274,37.9184,North America,soil,51486,0,51486,forest,1.5,741,4.7,2013,2013,2013,FALSE
445,Sukdeo_2018_1DF4,ITS86F/ITS4,-123.267,54.3333,North America,soil,0,445987,445987,forest,3.6,670,4.76,2014,2014,2014,FALSE
449,Li_2021_mDU,fITS9/ITS4,-89.35,43.1333,North America,soil,0,187438,187438,grassland,8.7,775,6.03,2015,2015,2015,TRUE
450,Sukdeo_2018_1DF4,ITS86F/ITS4,-123.267,54.3333,North America,soil,0,352835,352835,forest,3.6,670,5.18,2014,2014,2014,FALSE
477,Li_2021_mDU,fITS9/ITS4,-85.37,42.38,North America,soil,0,131263,131263,grassland,9.2,881,6.35,2015,2015,2015,FALSE
487,Bell_2020_EE,ITS1F/ITS2,-106.534,52.1672,North America,rhizosphere soil,7453,0,7453,grassland,2.7,369,6.95,2014,2014,2014,FALSE
496,Bell_2020_EE,ITS1F/ITS2,-106.533,52.1618,North America,rhizosphere soil,13257,0,13257,grassland,2.7,368,6.55,2014,2014,2014,FALSE
500,Pellitier_2019_82BC,5.8S_Fun/ITS4_Fun,-85.97,44.28,North America,shoot,0,470636,470636,forest,7.8,803,6.149243135,2016,2016,2016,FALSE
504,Pellitier_2019_82BC,5.8S_Fun/ITS4_Fun,-86.09,44.26,North America,shoot,0,788450,788450,forest,7.9,756,3.842174363,2016,2016,2016,FALSE
510,Gravuer_2020_mCY,ITS1F/ITS3,-122.427,38.872,North America,soil,91169,0,91169,grassland,12.7,872,6.5,2013,2013,2013,FALSE
526,Singh_2019_EA7F,ITS1/ITS4,-77.0919,43.125,North America,root,40519,119483,160002,cropland,9.1,917,6.8,0,0,NA_,FALSE
540,Pellitier_2019_82BC,5.8S_Fun/ITS4_Fun,-85.97,44.28,North America,shoot,0,799139,799139,forest,7.8,803,4.469093868,2016,2016,2016,FALSE
544,Ettinger_2019_dc38,5.8S_Fun/ITS4_Fun,-123.054,38.32,Pacific Ocean,sediment,0,16372,16372,aquatic,14.9,1061,6.33,2016,2016,2016,FALSE
546,Peay_2017_BCFB,ITS1F/ITS2,-155.851,20.1389,North America,soil,56532,0,56532,grassland,22.5,765,6.4,2015,2015,2015,FALSE
562,Peay_2017_BCFB,ITS1F/ITS2,-155.869,20.119,North America,soil,36674,0,36674,grassland,23.7,378,6.5,2015,2015,2015,FALSE
565,Duan_2018_DJ,ITS1F/ITS4,-76.6707,34.7181,North America,water,85057,0,85057,aquatic,18.8,1397,7.96,2011,2011,2011,FALSE
580,Li_2021_mDU,fITS9/ITS4,-85.37,42.38,North America,soil,0,178292,178292,grassland,9.2,881,4.93,2015,2015,2015,TRUE
589,Araya_2019_add,fITS9/ITS4,-70.8394,-27.4676,South America,soil,0,213525,213525,desert,16.8,26,9.24,2015,2015,2015,FALSE
590,Araya_2019_add,fITS9/ITS4,-70.8394,-27.4676,South America,soil,0,213525,213525,desert,16.8,26,9.24,2015,2015,2015,FALSE
605,Bell_2020_EE,ITS1F/ITS2,-106.529,52.1628,North America,rhizosphere soil,4504,0,4504,grassland,2.7,368,7.12,2014,2014,2014,FALSE
611,DelgadoBaquerizo_2017_BB88,fITS7/ITS4,-101.274,23.2047,North America,soil,0,61297,61297,shrubland,16.8,331,7.993206278,2008,2008,2008,FALSE
615,Truong_2019_add,ITS1F/ITS2,-67.2428,-54.5915,South America,soil,18730,0,18730,forest,3.4,672,3.82,2015,2015,2015,FALSE
631,Ettinger_2019_dc38,5.8S_Fun/ITS4_Fun,-123.054,38.3197,Pacific Ocean,root,0,69218,69218,aquatic,14.9,1061,6.94,2016,2016,2016,FALSE
644,Li_2021_mDU,fITS9/ITS4,-85.37,42.38,North America,soil,0,192115,192115,grassland,9.2,881,6.03,2015,2015,2015,TRUE
646,Ettinger_2019_dc38,5.8S_Fun/ITS4_Fun,-123.054,38.3204,Pacific Ocean,shoot,0,30036,30036,aquatic,14.9,1061,6.42,2016,2016,2016,FALSE
657,Farrer_2019_50DE,ITS1F/ITS2,-105.624,40.0573,North America,soil,13897,0,13897,tundra,-2.2,603,5.14,2015,2015,2015,FALSE
660,Farrer_2019_50DE,ITS1F/ITS2,-105.644,40.0511,North America,soil,57512,0,57512,tundra,-3.7,757,4.53,2015,2015,2015,FALSE
661,Zhang_2020_DB,ITS1F/ITS2,-58.95,-62.21,Antarctica,soil,45872,0,45872,desert,-7.8,1087,7.43,2017,2017,2017,FALSE
664,Farrer_2019_50DE,ITS1F/ITS2,-105.643,40.0504,North America,soil,47191,0,47191,tundra,-3.7,757,4.59,2015,2015,2015,FALSE
666,Farrer_2019_50DE,ITS1F/ITS2,-105.628,40.0553,North America,soil,28596,0,28596,tundra,-2.8,672,5.52,2015,2015,2015,FALSE
678,Zhang_2020_DB,ITS1F/ITS2,-58.96,-62.21,Antarctica,soil,53532,0,53532,desert,-1.9,675,6.51,2017,2017,2017,FALSE
744,Van_Nuland_2020_BK,ITS1F/ITS2,-92.52,46.6794,North America,soil,93855,0,93855,forest,5.2,783,6,2011,2011,2011,FALSE
745,Li_2021_mDU,fITS9/ITS4,-89.35,43.1333,North America,soil,0,185401,185401,grassland,8.7,775,6.03,2015,2015,2015,TRUE
751,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,38717,0,38717,cropland,7.6,982,6.8,2017,2017,2017,TRUE
756,Sukdeo_2018_1DF4,ITS86F/ITS4,-123.267,54.3333,North America,soil,0,293773,293773,forest,3.6,670,4.51,2014,2014,2014,FALSE
785,Gravuer_2020_mCY,ITS1F/ITS3,-122.43,38.871,North America,soil,128230,0,128230,grassland,12.7,872,6.4,2013,2013,2013,FALSE
786,Gravuer_2020_mCY,ITS1F/ITS3,-122.428,38.87,North America,soil,104385,0,104385,grassland,12.7,872,7.2,2013,2013,2013,TRUE
802,Sukdeo_2018_1DF4,ITS86F/ITS4,-123.267,54.3333,North America,soil,0,310713,310713,forest,3.6,670,4.63,2014,2014,2014,FALSE
809,Delgado_2021_TQ,ITS3/ITS4,-78.842,-2.936,South America,soil,0,1138461,1138461,forest,10.2,1079,4.8,2017,2017,2017,FALSE
810,Glassman_2017_E29A,ITS1F/ITS2,-119.268,37.9156,North America,soil,50363,0,50363,forest,1.8,751,4.4,2012,2012,2012,FALSE
840,Schlatter_2018_C2A6,ITS1F/ITS2,-117.086,46.7792,North America,soil,42076,0,42076,cropland,9.3,542,6.63,2016,2016,2016,FALSE
841,Schlatter_2018_C2A6,ITS1F/ITS2,-117.083,46.7815,North America,soil,44647,0,44647,cropland,9.2,564,7.14,2016,2016,2016,FALSE
851,Duan_2018_DJ,ITS1F/ITS4,-76.6707,34.7181,North America,water,100188,0,100188,aquatic,18.8,1397,8.04,2011,2011,2011,FALSE
852,Li_2021_mDU,fITS9/ITS4,-89.35,43.1333,North America,soil,0,180892,180892,grassland,8.7,775,4.93,2015,2015,2015,TRUE
856,Lagueux_2021_mCK,fITS7/ITS4,-106.623,34.3421,North America,root,0,1585015,1585015,grassland,14.2,308,7.94,2015,2015,2015,FALSE
877,Anthony_2017_647F,fITS7/ITS4,-73.956,41.3915,North America,soil,0,217730,217730,forest,11.7,909,5.4,2013,2013,2013,FALSE
886,Pellitier_2019_82BC,5.8S_Fun/ITS4_Fun,-86.07,44.26,North America,shoot,0,796731,796731,forest,7.9,755,3.663528525,2016,2016,2016,FALSE
887,Pellitier_2019_82BC,5.8S_Fun/ITS4_Fun,-86.07,44.26,North America,shoot,0,847920,847920,forest,7.9,755,4.450272426,2016,2016,2016,FALSE
906,Freed_2019_B98F,ITS1F/ITS2,-124.05,42.53,North America,shoot,58074,0,58074,wetland,13,1491,6.85,2016,2016,2016,FALSE
953,Pellitier_2019_82BC,5.8S_Fun/ITS4_Fun,-85.97,44.28,North America,shoot,0,682636,682636,forest,7.8,803,3.681737488,2016,2016,2016,FALSE
970,Anthony_2017_647F,fITS7/ITS4,-73.956,41.3915,North America,soil,0,172607,172607,forest,11.7,909,5.4,2013,2013,2013,FALSE
974,Ettinger_2019_dc38,5.8S_Fun/ITS4_Fun,-123.054,38.32,Pacific Ocean,sediment,0,42612,42612,aquatic,14.9,1061,6.33,2016,2016,2016,FALSE
993,Anthony_2017_647F,fITS7/ITS4,-71.3318,42.4094,North America,soil,0,58283,58283,forest,10.1,1279,4.7,2013,2013,2013,FALSE
994,Weber_2019_1GA,5.8S_Fun/ITS4_Fun,-117.705,33.7428,North America,root,0,53818,53818,shrubland,17.7,367,6.36,2015,2015,2015,TRUE
1008,DelgadoBaquerizo_2017_BB88,fITS7/ITS4,-100.944,23.6017,North America,soil,0,83359,83359,shrubland,17.6,319,8.365008489,2008,2008,2008,FALSE
1019,Wicaksono_2017_3B9E,fITS7/ITS4,-64.9345,-23.9188,South America,soil,0,235226,235226,forest,19.8,739,6.76,2011,2013,2011 to 2013,FALSE
1020,Wicaksono_2017_3B9E,fITS7/ITS4,-64.8534,-23.7554,South America,soil,0,46654,46654,forest,20.2,752,5.73,2011,2013,2011 to 2013,FALSE
1021,Glassman_2017_E29A,ITS1F/ITS2,-119.269,37.9176,North America,soil,42644,0,42644,forest,1.5,741,4,2013,2013,2013,FALSE
1038,Ladwig_2021_aa6b,5.8S_Fun/ITS4_Fun,-106.696,34.3159,North America,soil,0,37111,37111,desert,14.5,297,8.6,2013,2013,2013,FALSE
1046,Ettinger_2019_dc38,5.8S_Fun/ITS4_Fun,-123.054,38.3197,Pacific Ocean,sediment,0,32247,32247,aquatic,14.9,1061,6.94,2016,2016,2016,FALSE
1067,Schlatter_2019_4710,ITS1F/ITS2,-118.48,47.8407,North America,rhizosphere soil,23481,0,23481,cropland,8.7,349,5.1,2015,2015,2015,FALSE
1071,UOBC_2016_5CA6,ITS3/ITS4,-82.85,47.57,North America,soil,0,16116,16116,forest,2.6,806,5.05,2011,2011,2011,FALSE
1086,Ettinger_2019_dc38,5.8S_Fun/ITS4_Fun,-123.054,38.32,Pacific Ocean,shoot,0,37588,37588,aquatic,14.9,1061,6.33,2016,2016,2016,FALSE
1087,Anthony_2017_647F,fITS7/ITS4,-74.0093,41.4199,North America,soil,0,70301,70301,forest,10.5,1413,5.4,2013,2013,2013,FALSE
1090,Duan_2018_DJ,ITS1F/ITS4,-76.6707,34.7181,North America,water,551996,0,551996,aquatic,18.8,1397,7.93,2011,2011,2011,FALSE
1091,Pellitier_2019_82BC,5.8S_Fun/ITS4_Fun,-86.09,44.26,North America,shoot,0,656196,656196,forest,7.9,756,3.736031555,2016,2016,2016,FALSE
1119,Li_2021_mDU,fITS9/ITS4,-89.35,43.1333,North America,soil,0,164019,164019,grassland,8.7,775,6.03,2015,2015,2015,TRUE
1126,Li_2021_mDU,fITS9/ITS4,-85.37,42.38,North America,soil,0,152257,152257,grassland,9.2,881,4.93,2015,2015,2015,TRUE
1127,Van_Nuland_2020_BK,ITS1F/ITS2,-92.52,46.6794,North America,soil,39244,0,39244,forest,5.2,783,6,2011,2011,2011,TRUE
1136,Li_2021_mDU,fITS9/ITS4,-85.37,42.38,North America,soil,0,164619,164619,grassland,9.2,881,6.03,2015,2015,2015,TRUE
1140,Peay_2017_BCFB,ITS1F/ITS2,-155.804,20.1543,North America,soil,51069,0,51069,grassland,19.7,2035,4.5,2015,2015,2015,FALSE
1143,Sukdeo_2018_1DF4,ITS86F/ITS4,-123.267,54.3333,North America,soil,0,214877,214877,forest,3.6,670,5.03,2015,2015,2015,FALSE
1145,UOBC_2016_5CA6,ITS3/ITS4,-126.31,52.32,North America,soil,0,6676,6676,forest,-1.9,1253,5.01,2008,2008,2008,FALSE
1154,Lagueux_2021_mCK,fITS7/ITS4,-106.728,34.3373,North America,root,0,585191,585191,grassland,14.7,297,8.34,2015,2015,2015,TRUE
1264,Delgado_2021_TQ,ITS3/ITS4,-78.8339,-2.936,South America,soil,0,938579,938579,forest,10.2,1124,4.9,2017,2017,2017,FALSE
1273,Sukdeo_2018_1DF4,ITS86F/ITS4,-123.267,54.3333,North America,soil,0,322135,322135,forest,3.6,670,4.62,2014,2014,2014,FALSE
1274,Siciliano_2014_FF,ITS1F/ITS4,-75.9,78.86,North America,soil,3727,0,3727,desert,-16.7,152,7.7,2005,2008,2005 to 2008,FALSE
1283,Schlatter_2019_4710,ITS1F/ITS2,-118.502,47.9046,North America,rhizosphere soil,37382,0,37382,cropland,10,332,5.45,2016,2016,2016,FALSE
1290,Bell_2020_EE,ITS1F/ITS2,-106.535,52.1686,North America,rhizosphere soil,7738,0,7738,grassland,2.7,369,6.42,2014,2014,2014,FALSE
1291,Pellitier_2019_82BC,5.8S_Fun/ITS4_Fun,-86.09,44.26,North America,shoot,0,666016,666016,forest,7.9,756,4.483969215,2016,2016,2016,FALSE
1304,Ettinger_2019_dc38,5.8S_Fun/ITS4_Fun,-123.054,38.3204,Pacific Ocean,root,0,59169,59169,aquatic,14.9,1061,6.42,2016,2016,2016,FALSE
1325,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,38448,0,38448,cropland,7.6,982,6.8,2017,2017,2017,TRUE
1326,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,68587,0,68587,cropland,7.6,982,6.8,2017,2017,2017,TRUE
1327,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,54307,0,54307,cropland,7.6,982,6.8,2017,2017,2017,TRUE
1333,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,23909,0,23909,cropland,7.6,982,6.8,2017,2017,2017,TRUE
1336,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,57944,0,57944,cropland,7.6,982,6.8,2017,2017,2017,TRUE
1337,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,31091,0,31091,cropland,7.6,982,6.8,2017,2017,2017,TRUE
1338,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,33529,0,33529,cropland,7.6,982,6.8,2017,2017,2017,TRUE
1342,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,57843,0,57843,cropland,7.6,982,6.8,2017,2017,2017,TRUE
1343,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,37471,0,37471,cropland,7.6,982,6.8,2017,2017,2017,TRUE
1344,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,35839,0,35839,cropland,7.6,982,6.8,2017,2017,2017,TRUE
1345,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,48037,0,48037,cropland,7.6,982,6.8,2017,2017,2017,TRUE
1347,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,34721,0,34721,cropland,7.6,982,6.8,2017,2017,2017,TRUE
1348,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,26822,0,26822,cropland,7.6,982,6.8,2017,2017,2017,TRUE
1350,Glassman_2017_E29A,ITS1F/ITS2,-119.274,37.921,North America,soil,73910,0,73910,forest,1.5,741,4.9,2013,2013,2013,FALSE
1351,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,60628,0,60628,cropland,7.6,982,6.8,2017,2017,2017,TRUE
1352,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,45524,0,45524,cropland,7.6,982,6.8,2017,2017,2017,TRUE
1354,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,52925,0,52925,cropland,7.6,982,6.8,2017,2017,2017,TRUE
1356,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,27225,0,27225,cropland,7.6,982,6.8,2017,2017,2017,TRUE
1357,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,57413,0,57413,cropland,7.6,982,6.8,2017,2017,2017,TRUE
1358,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,35922,0,35922,cropland,7.6,982,6.8,2017,2017,2017,TRUE
1360,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,35083,0,35083,cropland,7.6,982,6.8,2017,2017,2017,TRUE
1362,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,37413,0,37413,cropland,7.6,982,6.8,2017,2017,2017,TRUE
1363,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,23040,0,23040,cropland,7.6,982,6.8,2017,2017,2017,TRUE
1364,Farrer_2019_50DE,ITS1F/ITS2,-105.624,40.0579,North America,soil,38086,0,38086,tundra,-2.2,603,5.27,2015,2015,2015,FALSE
1365,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,49566,0,49566,cropland,7.6,982,6.8,2017,2017,2017,TRUE
1366,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,28869,0,28869,cropland,7.6,982,6.8,2017,2017,2017,TRUE
1369,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,25497,0,25497,cropland,7.6,982,6.8,2017,2017,2017,TRUE
1371,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,41069,0,41069,cropland,7.6,982,6.8,2017,2017,2017,TRUE
1372,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,36456,0,36456,cropland,7.6,982,6.8,2017,2017,2017,TRUE
1373,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,51314,0,51314,cropland,7.6,982,6.8,2017,2017,2017,TRUE
1375,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,48296,0,48296,cropland,7.6,982,6.8,2017,2017,2017,TRUE
1377,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,36572,0,36572,cropland,7.6,982,6.8,2017,2017,2017,FALSE
1382,McGee_2019_ADF4,ITS1F/ITS4,-84.16,10.27,North America,soil,44630,64673,109303,forest,21,3663,5.7,2014,2014,2014,FALSE
1388,Egidi_AD_2019,fITS7/ITS4,-123.38,48.46,North America,soil,0,76079,76079,grassland,11.1,862,5.8,2003,2015,2003 to 2015,FALSE
1400,Sukdeo_2018_1DF4,ITS86F/ITS4,-123.267,54.3333,North America,soil,0,183250,183250,forest,3.6,670,4.74,2014,2014,2014,FALSE
1403,Duan_2018_DJ,ITS1F/ITS4,-76.6707,34.7181,North America,water,82922,0,82922,aquatic,18.8,1397,7.9,2011,2011,2011,FALSE
1404,Peay_2017_BCFB,ITS1F/ITS2,-155.879,20.1142,North America,soil,36476,0,36476,grassland,24.4,285,6.4,2015,2015,2015,FALSE
1405,Lagueux_2021_mCK,fITS7/ITS4,-96.5631,39.1008,North America,root,0,88491,88491,grassland,12.5,812,6.282222222,2015,2015,2015,TRUE
1408,Anthony_2017_647F,fITS7/ITS4,-73.2508,42.1291,North America,soil,0,325604,325604,forest,9.2,1311,5.4,2013,2013,2013,FALSE
